dst_type,setting,magnitude,JOD
Noise_f0.01,close-flipped,ref,0
Noise_f0.01,close-flipped,Noise_f0.01_a05.0000,-0.255815504925903
Noise_f0.01,close-flipped,Noise_f0.01_a08.3330,-0.812808878220405
Noise_f0.01,close-flipped,Noise_f0.01_a11.6665,-1.49379834653303
Noise_f0.01,close-flipped,Noise_f0.01_a15.0000,-2.47876980863178
Noise_f0.01,close-normal,ref,0
Noise_f0.01,close-normal,Noise_f0.01_a05.0000,-0.284697940315163
Noise_f0.01,close-normal,Noise_f0.01_a08.3330,-0.923874785943189
Noise_f0.01,close-normal,Noise_f0.01_a11.6665,-1.81513158092922
Noise_f0.01,close-normal,Noise_f0.01_a15.0000,-3.09562084885479
Noise_f0.01,far-flipped,ref,0
Noise_f0.01,far-flipped,Noise_f0.01_a05.0000,-0.31671866482052
Noise_f0.01,far-flipped,Noise_f0.01_a08.3330,-0.89279494658505
Noise_f0.01,far-flipped,Noise_f0.01_a11.6665,-1.73014392845572
Noise_f0.01,far-flipped,Noise_f0.01_a15.0000,-2.7442391739569
Noise_f0.01,far-normal,ref,0
Noise_f0.01,far-normal,Noise_f0.01_a05.0000,-0.392649031357781
Noise_f0.01,far-normal,Noise_f0.01_a08.3330,-1.15648436291149
Noise_f0.01,far-normal,Noise_f0.01_a11.6665,-2.25028511807197
Noise_f0.01,far-normal,Noise_f0.01_a15.0000,-3.46966954138007
Noise_f0.06,close-flipped,ref,0
Noise_f0.06,close-flipped,Noise_f0.06_a00.2100,-0.281054613334152
Noise_f0.06,close-flipped,Noise_f0.06_a00.3500,-0.993195397710885
Noise_f0.06,close-flipped,Noise_f0.06_a00.4900,-1.93570162640175
Noise_f0.06,close-flipped,Noise_f0.06_a00.6300,-3.17010926521637
Noise_f0.06,close-normal,ref,0
Noise_f0.06,close-normal,Noise_f0.06_a00.2100,-0.301340845363954
Noise_f0.06,close-normal,Noise_f0.06_a00.3500,-1.07716642772278
Noise_f0.06,close-normal,Noise_f0.06_a00.4900,-2.03086697480706
Noise_f0.06,close-normal,Noise_f0.06_a00.6300,-3.32758919533317
Noise_f0.06,far-flipped,ref,0
Noise_f0.06,far-flipped,Noise_f0.06_a00.2100,-0.323137167755279
Noise_f0.06,far-flipped,Noise_f0.06_a00.3500,-0.82274309394285
Noise_f0.06,far-flipped,Noise_f0.06_a00.4900,-1.62324800135041
Noise_f0.06,far-flipped,Noise_f0.06_a00.6300,-2.5301285638069
Noise_f0.06,far-normal,ref,0
Noise_f0.06,far-normal,Noise_f0.06_a00.2100,-0.235913685559569
Noise_f0.06,far-normal,Noise_f0.06_a00.3500,-0.630613609119567
Noise_f0.06,far-normal,Noise_f0.06_a00.4900,-1.32756212788748
Noise_f0.06,far-normal,Noise_f0.06_a00.6300,-2.30830805817581
Noise_f0.34,close-flipped,ref,0
Noise_f0.34,close-flipped,Noise_f0.34_a00.0675,-0.36052483390304
Noise_f0.34,close-flipped,Noise_f0.34_a00.1125,-1.1015265035461
Noise_f0.34,close-flipped,Noise_f0.34_a00.1575,-2.03595804359109
Noise_f0.34,close-flipped,Noise_f0.34_a00.2025,-3.07965950991207
Noise_f0.34,close-normal,ref,0
Noise_f0.34,close-normal,Noise_f0.34_a00.0675,-0.3821469143884
Noise_f0.34,close-normal,Noise_f0.34_a00.1125,-1.00098257513186
Noise_f0.34,close-normal,Noise_f0.34_a00.1575,-1.86258521107145
Noise_f0.34,close-normal,Noise_f0.34_a00.2025,-2.92085585003386
Noise_f0.34,far-flipped,ref,0
Noise_f0.34,far-flipped,Noise_f0.34_a00.0675,-0.215893014627868
Noise_f0.34,far-flipped,Noise_f0.34_a00.1125,-0.507606744283466
Noise_f0.34,far-flipped,Noise_f0.34_a00.1575,-0.76594222664646
Noise_f0.34,far-flipped,Noise_f0.34_a00.2025,-1.40954998385248
Noise_f0.34,far-normal,ref,0
Noise_f0.34,far-normal,Noise_f0.34_a00.0675,-0.143972391825766
Noise_f0.34,far-normal,Noise_f0.34_a00.1125,-0.387544952038028
Noise_f0.34,far-normal,Noise_f0.34_a00.1575,-0.777284336310215
Noise_f0.34,far-normal,Noise_f0.34_a00.2025,-1.40317947175236
Noise_f2.00,close-flipped,ref,0
Noise_f2.00,close-flipped,Noise_f2.00_a00.0740,-0.255000033996056
Noise_f2.00,close-flipped,Noise_f2.00_a00.1233,-0.861665943398431
Noise_f2.00,close-flipped,Noise_f2.00_a00.1727,-1.54751028729101
Noise_f2.00,close-flipped,Noise_f2.00_a00.2220,-2.60291071080978
Noise_f2.00,close-normal,ref,0
Noise_f2.00,close-normal,Noise_f2.00_a00.0740,-0.13562656888027
Noise_f2.00,close-normal,Noise_f2.00_a00.1233,-0.663541150517847
Noise_f2.00,close-normal,Noise_f2.00_a00.1727,-1.26912680006155
Noise_f2.00,close-normal,Noise_f2.00_a00.2220,-2.22009830466922
Noise_f2.00,far-flipped,ref,0
Noise_f2.00,far-flipped,Noise_f2.00_a00.0740,-0.117651181966867
Noise_f2.00,far-flipped,Noise_f2.00_a00.1233,-0.182020534062206
Noise_f2.00,far-flipped,Noise_f2.00_a00.1727,-0.485021389048241
Noise_f2.00,far-flipped,Noise_f2.00_a00.2220,-0.801147443352778
Noise_f2.00,far-normal,ref,0
Noise_f2.00,far-normal,Noise_f2.00_a00.0740,-0.128113205558221
Noise_f2.00,far-normal,Noise_f2.00_a00.1233,-0.250710143962336
Noise_f2.00,far-normal,Noise_f2.00_a00.1727,-0.44606435382685
Noise_f2.00,far-normal,Noise_f2.00_a00.2220,-0.788998639347702
Simp,close-flipped,ref,0
Simp,close-flipped,Simp_p25.00,0.0672300128085683
Simp,close-flipped,Simp_p12.50,-0.414535779494711
Simp,close-flipped,Simp_p06.25,-1.29893156399665
Simp,close-flipped,Simp_p03.12,-2.54662122101056
Simp,close-normal,ref,0
Simp,close-normal,Simp_p25.00,-0.0055702969028218
Simp,close-normal,Simp_p12.50,-0.553929490467195
Simp,close-normal,Simp_p06.25,-1.45399651356878
Simp,close-normal,Simp_p03.12,-2.87462141344409
Simp,far-flipped,ref,0
Simp,far-flipped,Simp_p25.00,-0.0139114344061642
Simp,far-flipped,Simp_p12.50,-0.2296494231032
Simp,far-flipped,Simp_p06.25,-0.670003217284875
Simp,far-flipped,Simp_p03.12,-1.56122451949279
Simp,far-normal,ref,0
Simp,far-normal,Simp_p25.00,0.0120445420412259
Simp,far-normal,Simp_p12.50,-0.183285884358414
Simp,far-normal,Simp_p06.25,-0.691756653156569
Simp,far-normal,Simp_p03.12,-1.63543065607638
Smooth,close-flipped,ref,0
Smooth,close-flipped,Smooth_i02,0.0113248292873739
Smooth,close-flipped,Smooth_i06,-0.219199684863277
Smooth,close-flipped,Smooth_i12,-0.350951300065022
Smooth,close-flipped,Smooth_i20,-0.641182895890009
Smooth,close-normal,ref,0
Smooth,close-normal,Smooth_i02,0.065094591653473
Smooth,close-normal,Smooth_i06,-0.152535254238095
Smooth,close-normal,Smooth_i12,-0.361338000614287
Smooth,close-normal,Smooth_i20,-0.788990831472683
Smooth,far-flipped,ref,0
Smooth,far-flipped,Smooth_i02,0.0728290475999242
Smooth,far-flipped,Smooth_i06,0.010721176421055
Smooth,far-flipped,Smooth_i12,-0.0435793308719555
Smooth,far-flipped,Smooth_i20,-0.357360581071744
Smooth,far-normal,ref,0
Smooth,far-normal,Smooth_i02,0.114191074172859
Smooth,far-normal,Smooth_i06,0.0870177067882083
Smooth,far-normal,Smooth_i12,-0.131004179960121
Smooth,far-normal,Smooth_i20,-0.495650835260222
