Distortion,cond1,cond2,significance
Noise_f0.01_a05.0000,close_flipped,close_normal,0
Noise_f0.01_a08.3330,close_flipped,close_normal,0
Noise_f0.01_a11.6665,close_flipped,close_normal,1
Noise_f0.01_a15.0000,close_flipped,close_normal,1
Noise_f0.06_a00.2100,close_flipped,close_normal,0
Noise_f0.06_a00.3500,close_flipped,close_normal,0
Noise_f0.06_a00.4900,close_flipped,close_normal,0
Noise_f0.06_a00.6300,close_flipped,close_normal,0
Noise_f0.34_a00.0675,close_flipped,close_normal,0
Noise_f0.34_a00.1125,close_flipped,close_normal,0
Noise_f0.34_a00.1575,close_flipped,close_normal,0
Noise_f0.34_a00.2025,close_flipped,close_normal,0
Noise_f2.00_a00.0740,close_flipped,close_normal,0
Noise_f2.00_a00.1233,close_flipped,close_normal,0
Noise_f2.00_a00.1727,close_flipped,close_normal,0
Noise_f2.00_a00.2220,close_flipped,close_normal,0
Simp_p25.00,close_normal,close_flipped,0
Simp_p12.50,close_normal,close_flipped,0
Simp_p06.25,close_normal,close_flipped,0
Simp_p03.12,close_normal,close_flipped,0
Smooth_i02,close_flipped,close_normal,0
Smooth_i06,close_flipped,close_normal,0
Smooth_i12,close_flipped,close_normal,0
Smooth_i20,close_flipped,close_normal,0
